ORIN,LOCAL,CANT
1000433263,100,2
1000098241,100,2
1000005401,100,2
1000433247,100,2
1000436093,100,2
1000101595,100,2
1000059776,100,2
1000510771,100,2
1000043167,100,2
1000025631,100,2
1000436433,100,2
1000211324,100,2
1000043386,100,2
1000351763,100,2
1000444060,100,2
1000423854,100,2
1000348184,100,2
1000421723,100,2
1000049103,100,2
1000257759,100,2
1000062451,100,2
1000409472,100,2
1000421742,100,2
1000228085,100,2
1000351757,100,2
1000051545,100,2
1000056749,100,2
1000050578,100,2
1000190903,100,2
1000058575,100,2
1000004443,100,2
1000510748,100,2
1000005810,100,2
1000191004,100,2
1000444055,100,2
1000444057,100,2
1000501591,100,2
1000444324,100,2
1000053154,100,2
1000423933,100,2
1000051546,100,2
1000409535,100,2
1000423140,100,2
1000424008,100,2
1000002887,100,2
1000506733,100,2
1000433260,100,2
1000059807,100,2
1000053300,100,2
1000001274,100,2
1000421815,100,2
1000283067,100,2
1000510772,100,2
1000434482,100,2
1000523185,100,2
1000423938,100,2
1000510759,100,2
1000004548,100,2
1000062213,100,2
1000423872,100,2
1000409471,100,2
1000250415,100,2
1000423874,100,2
1000433244,100,2
1000025484,100,2
1000422015,100,2
1000423940,100,2
1000058885,100,2
1000423864,100,2
1000370582,100,2
1000351760,100,2
1000351758,100,2
1000143073,100,2
1000444051,100,2
1000421730,100,2
1000053366,100,2
1000423144,100,2
1000351753,100,2
1000041712,100,2
1000056859,100,2
1000025629,100,2
1000527733,100,2
1000433579,100,2
1000451014,100,2
1000409473,100,2
1000309531,100,2
1000421789,100,2
1000433268,100,2
1000004173,100,2
1000423875,100,2
1000004842,100,2
1000062297,100,2
1000434949,100,2
1000162569,100,2
1000436078,100,2
1000506604,100,2
1000436085,100,2
1000054730,100,2
1000423850,100,2
1000143638,100,2
1000005405,100,2
1000423930,100,2
1000040450,100,2
1000421794,100,2
1000501594,100,2
1000004663,100,2
1000421979,100,2
1000436065,100,2
1000001402,100,2
1000160397,100,2
1000416071,100,2
1000027543,100,2
1000233515,100,2
1000409490,100,2
1000024412,100,2
1000142850,100,2
1000495200,100,2
1000435028,100,2
1000173398,100,2
1000421776,100,2
1000245733,100,2
1000346999,100,2
1000351765,100,2
1000434956,100,2
1000349318,100,2
1000510769,100,2
1000005173,100,2
1000423867,100,2
1000510770,100,2
1000454655,100,2
1000245725,100,2
1000053192,100,2
1000422037,100,2
1000444062,100,2
1000421731,100,2
1000053307,100,2
1000056960,100,2
1000098332,100,2
1000510761,100,2
1000409476,100,2
1000433636,100,2
1000056364,100,2
1000297335,100,2
1000039505,100,2
1000336154,100,2
1000005167,100,2
1000048050,100,2
1000501611,100,2
1000054287,100,2
1000421813,100,2
1000050574,100,2
1000004001,100,2
1000302501,100,2
1000421737,100,2
1000421727,100,2
1000423871,100,2
1000054288,100,2
1000087079,100,2
1000052108,100,2
1000003419,100,2
1000421791,100,2
1000062456,100,2
1000421814,100,2
1000302623,100,2
1000444045,100,2
1000059786,100,2
1000024745,100,2
1000056536,100,2
1000003464,100,2
1000053163,100,2
1000228079,100,2
1000052163,100,2
1000421732,100,2
1000061161,100,2
1000421793,100,2
1000143078,100,2
1000436082,100,2
1000422010,100,2
1000170839,100,2
1000047400,100,2
1000059784,100,2
1000059790,100,2
1000051633,100,2
1000346997,100,2
1000345803,100,2
1000510774,100,2
1000026043,100,2
1000423942,100,2
1000501614,100,2
1000421818,100,2
1000421726,100,2
1000436084,100,2
1000054289,100,2
1000421734,100,2
1000510811,100,2
1000163094,100,2
1000436083,100,2
1000348240,100,2
1000242479,100,2
1000037806,100,2
1000501590,100,2
1000506731,100,2
1000501599,100,2
1000347048,100,2
1000506831,100,2
1000001400,100,2
1000056284,100,2
1000421739,100,2
1000242524,100,2
1000059788,100,2
1000056302,100,2
1000433577,100,2
1000416087,100,2
1000027544,100,2
1000444047,100,2
1000060674,100,2
1000421788,100,2
1000284094,100,2
1000348181,100,2
1000433264,100,2
1000421806,100,2
1000501588,100,2
1000110795,100,2
1000217122,100,2
1000462595,100,2
1000423141,100,2
1000058879,100,2
1000061853,100,2
1000051537,100,2
1000423929,100,2
1000045880,100,2
1000501593,100,2
1000436131,100,2
1000349608,100,2
1000421812,100,2
1000059787,100,2
1000510788,100,2
1000219732,100,2
1000087077,100,2
1000151566,100,2
1000421778,100,2
1000501586,100,2
1000433271,100,2
1000151559,100,2
1000510760,100,2
1000444061,100,2
1000369104,100,2
1000058876,100,2
1000059773,100,2
1000421801,100,2
1000436431,100,2
1000025962,100,2
1000025628,100,2
1000025479,100,2
1000421824,100,2
1000056370,100,2
1000245711,100,2
1000501612,100,2
1000423937,100,2
1000233500,100,2
1000047724,100,2
1000351768,100,2
1000423876,100,2
1000005016,100,2
1000154101,100,2
1000421798,100,2
1000061872,100,2
1000501592,100,2
1000423866,100,2
1000511071,100,2
1000336153,100,2
1000434127,100,2
1000435739,100,2
1000062579,100,2
1000421821,100,2
1000049111,100,2
1000436073,100,2
1000038299,100,2
1000436090,100,2
1000422012,100,2
1000501589,100,2
1000143076,100,2
1000049047,100,2
1000406850,100,2
1000444048,100,2
1000351755,100,2
1000297330,100,2
1000433634,100,2
1000422030,100,2
1000047401,100,2
1000423150,100,2
1000409470,100,2
1000056660,100,2
1000510814,100,2
1000228071,100,2
1000098401,100,2
1000302414,100,2
1000299943,100,2
1000421747,100,2
1000421733,100,2
1000050445,100,2
1000444056,100,2
1000105221,100,2
1000098406,100,2
1000062489,100,2
1000049108,100,2
1000423877,100,2
1000254668,100,2
1000435012,100,2
1000245657,100,2
1000409468,100,2
1000501601,100,2
1000444063,100,2
1000142921,100,2
1000052189,100,2
1000444046,100,2
1000421808,100,2
1000433262,100,2
1000421777,100,2
1000045877,100,2
1000051574,100,2
1000143082,100,2
1000245710,100,2
1000002541,100,2
1000444052,100,2
1000062476,100,2
1000436064,100,2
1000423139,100,2
1000005168,100,2
1000423928,100,2
1000421994,100,2
1000062463,100,2
1000101221,100,2
1000421775,100,2
1000421736,100,2
1000062287,100,2
1000061162,100,2
1000004446,100,2
1000256618,100,2
1000409474,100,2
1000048221,100,2
1000045768,100,2
1000345805,100,2
1000421735,100,2
1000004309,100,2
1000004557,100,2
1000444044,100,2
1000061861,100,2
1000409475,100,2
1000284746,100,2
1000406849,100,2
1000351767,100,2
1000025424,100,2
1000423873,100,2
1000056612,100,2
1000421797,100,2
1000143074,100,2
1000423863,100,2
1000001445,100,2
1000245663,100,2
1000501596,100,2
1000027444,100,2
1000004823,100,2
1000003681,100,2
1000370862,100,2
1000001248,100,2
1000421804,100,2
1000444049,100,2
1000421724,100,2
1000436088,100,2
1000423138,100,2
1000160379,100,2
1000506693,100,2
1000233522,100,2
1000351761,100,2
1000060400,100,2
1000001377,100,2
1000347646,100,2
1000421805,100,2
1000051534,100,2
1000062182,100,2
1000415603,100,2
1000003790,100,2
1000416066,100,2
1000062278,100,2
1000421796,100,2
1000433246,100,2
1000101193,100,2
1000501595,100,2
1000056590,100,2
1000421823,100,2
1000043282,100,2
1000421810,100,2
1000433578,100,2
1000103647,100,2
1000421779,100,2
1000061582,100,2
1000501587,100,2
1000160563,100,2
1000423939,100,2
1000351756,100,2
1000024025,100,2
1000001246,100,2
1000059768,100,2
1000004399,100,2
1000160364,100,2
1000409534,100,2
1000190899,100,2
