PROM_FECHA_INICIO,PROM_FECHA_FIN,ARTC_ARTC_COD,EVENTO_ID,PRONOSTICO_VENTA,STOCK_INICIAL_PROMO,GEOG_LOCL_COD,PROM_PVP_OFERTA,PROM_LOCAL_ACTIVO,PROM_ESTIBA
5/1/2025,5/4/2025,301287000,2519,,0,147,580,1,0
5/1/2025,5/4/2025,360180000,2519,,0,149,759,1,0
5/1/2025,5/4/2025,310143000,2519,,0,149,599,1,0
5/1/2025,5/4/2025,310143000,2519,,0,151,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,104,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,313,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,324,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,316,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,150,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,153,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,325,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,333,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,163,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,316,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,125,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,326,580,1,0
5/1/2025,5/4/2025,360180000,2519,,0,115,759,1,0
5/1/2025,5/4/2025,300531000,2519,,0,115,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,334,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,162,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,148,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,307,599,1,0
5/1/2025,5/4/2025,360180000,2519,,0,315,759,1,0
5/1/2025,5/4/2025,301287000,2519,,0,156,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,162,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,159,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,301,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,307,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,144,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,151,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,117,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,120,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,325,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,163,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,151,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,333,580,1,0
5/1/2025,5/4/2025,360180000,2519,,0,126,759,1,0
5/1/2025,5/4/2025,300531000,2519,,0,160,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,161,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,322,599,1,0
5/1/2025,5/4/2025,360180000,2519,,0,162,759,1,0
5/1/2025,5/4/2025,301287000,2519,,0,305,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,310,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,168,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,173,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,117,580,1,0
5/1/2025,5/4/2025,360180000,2519,,0,107,759,1,0
5/1/2025,5/4/2025,301287000,2519,,0,311,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,328,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,331,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,124,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,166,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,132,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,134,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,139,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,159,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,104,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,127,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,318,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,327,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,131,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,311,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,165,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,115,599,1,0
5/1/2025,5/4/2025,310143000,2519,,0,313,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,155,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,311,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,317,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,328,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,312,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,156,599,1,0
5/1/2025,5/4/2025,310143000,2519,,0,143,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,332,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,329,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,148,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,119,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,140,580,1,0
5/1/2025,5/4/2025,360180000,2519,,0,146,759,1,0
5/1/2025,5/4/2025,301287000,2519,,0,115,580,1,0
5/1/2025,5/4/2025,360180000,2519,,0,108,759,1,0
5/1/2025,5/4/2025,300531000,2519,,0,318,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,321,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,131,599,1,0
5/1/2025,5/4/2025,310143000,2519,,0,150,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,150,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,153,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,120,480,1,0
5/1/2025,5/4/2025,360180000,2519,,0,313,759,1,0
5/1/2025,5/4/2025,360180000,2519,,0,157,759,1,0
5/1/2025,5/4/2025,360180000,2519,,0,316,759,1,0
5/1/2025,5/4/2025,310143000,2519,,0,145,599,1,0
5/1/2025,5/4/2025,310143000,2519,,0,317,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,334,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,301,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,305,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,309,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,315,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,111,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,161,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,314,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,124,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,331,599,1,0
5/1/2025,5/4/2025,310143000,2519,,0,124,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,144,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,149,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,101,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,108,580,1,0
5/1/2025,5/4/2025,360180000,2519,,0,111,759,1,0
5/1/2025,5/4/2025,300531000,2519,,0,147,480,1,0
