ESTADÍSTICO,ORIN,DESCRIPCIÓN,PRECIO REGULAR,PRECIO PLUS,PRECIO MEDIANO AYER,% DTO,ALERTA PRECIO 1,ALERTA PRECIO 2,IVA,PRECIO APP ,APP % DTO,VENTA Q REGULAR DIARIA,VENTA Q PROMO DIARIA,VENTA ESTIMADA DIARIA,ESTIMADO DE VENTA,ACELERACIÓN,VALOR ESTIMADO DE VENTA ,ESTIMADO CERCANIAS,GO,ALERTA FORECAST,CANTIDAD POR INNER,LOCALES ACTIVOS* Q INNER,ALERTA INNER,STOCK UNIDADES,ALERTA COMPRA,COSTO SIN IVA REGULAR,DESCUENTO COMPRA,COSTO SIN IVA OFERTA,VIGENCIA DESCUENTO,% SELL OUT,VENTA AL COSTO SIN IVA,COSTO FINAL CON PROMO,MARGEN GB1 PROMO,MARGEN GB1 TEÓRICO,INV PUNTOS PORCENTUALES,INVERSIÓN TATA,RETORNO ACUERDO,COSTO FINAL PROMO CON RETORNO,MARGEN GB2,Precio con 20% BBVA Comunidad Plus - OFERTATA,Status Comercial ,Observaciones,
,,COMESTIBLES,,,,0,,,22%,,0,,,0,,,,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
250976000,1000050856,PASTA INST. NISSIN SABOR POLLO 85.00 G,27,20,29,"25,93%",,,22%,,"100,00%",1.011,2.214,2.286,32.000,"2,5",640.000,,1,,30,2.430,,29,COMPRAR,"$18,00","20,00%","$14,40",,,460.800,"$14,40","12,16%","18,67%","-6,51%","-25,10%",,"$14,40","12,16%",16,PONER STATUS,,
250977000,1000050857,PASTA INST. NISSIN SABOR CARNE 85.00 G,27,20,29,"25,93%",,,22%,,"100,00%",971,2.499,2.286,32.000,"2,7",640.000,,1,,30,2.430,,29,COMPRAR,"18,00","20,00%","$14,40",,,,"$14,40","12,16%","18,67%","-6,51%","-25,10%",,"$14,40","12,16%",16,,,
250978000,1000050858,PASTA INST. NISSIN SABOR VERDURA 85.00 G,27,20,29,"25,93%",,,22%,,"100,00%",482,1.334,1.786,25.000,"2,5",500.000,,1,,30,2.430,,29,COMPRAR,"18,00","20,00%","$14,40",,,,"$14,40","12,16%","18,67%","-6,51%","-25,10%",,"$14,40","12,16%",16,,,
252938000,1000290081,NISSIN RAMEN SABOR CAMARON 85 G,27,20,27,"25,93%",,,10%,,"100,00%",218,482,1.071,15.000,"3,0",300.000,,1,REVISAR,30,2.220,,27,COMPRAR,"18,00","20,00%","$14,40",,,,"$14,40","20,80%","26,67%","-5,87%","-22,63%",,"$14,40","20,80%",16,,,
254748000,1000455211,RAMEN NISSIN SABOR POLLO PICANTE 85G,27,20,29,"25,93%",,,10%,,"100,00%",806,1.641,1.786,25.000,"4,5",500.000,,1,,30,2.430,,29,COMPRAR,"18,00","20,00%","$14,40",,,,"$14,40","20,80%","26,67%","-5,87%","-22,63%",,"$14,40","20,80%",16,,,
250676000,1000050633,FIDEOS AL HUEVO ADRIA NIDO 500 GR,92,80,92,"13,04%",,,10%,,"100,00%",43,59,136,1.900,"2,8",152.000,,,REVISAR,20,1.600,,92,COMPRAR,"$61,56","0,00%","$61,56",,,,"$61,56","15,36%","26,40%","-11,04%","-84,65%",,"$61,56","15,36%",64,,,
250677000,1000050634,FIDEOS AL HUEVO ADRIA RIZZETO 500 GR,92,80,92,"13,04%",,,10%,,"100,00%",87,230,179,2.500,"2,7",200.000,,,,20,1.620,,92,COMPRAR,"$61,56","0,00%","$61,56",,,,"$61,56","15,36%","26,40%","-11,04%","-84,65%",,"$61,56","15,36%",64,,,
250841000,1000050763,FIDEOS AL HUEVO ADRIA NIDO 2 500 GR,92,80,92,"13,04%",,,10%,,"100,00%",65,128,179,2.500,"2,7",200.000,,,,20,1.620,,92,COMPRAR,"$61,56","0,00%","$61,56",,,,"$61,56","15,36%","26,40%","-11,04%","-84,65%",,"$61,56","15,36%",64,,,
250842000,1000050764,FIDEOS AL HUEVO ADRIA MO?AS 500 GR,92,80,92,"13,04%",,,10%,,"100,00%",50,89,107,1.500,"1,8",120.000,,,,20,1.620,REVISAR,92,COMPRAR,"$61,56","0,00%","$61,56",,,,"$61,56","15,36%","26,40%","-11,04%","-84,65%",,"$61,56","15,36%",64,,,
250843000,1000050765,FIDEOS AL HUEVO ADRIA CORBATA 500 GR,92,80,92,"13,04%",,,10%,,"100,00%",129,314,179,2.500,"3,4",200.000,,,,20,1.620,,92,COMPRAR,"$61,56","0,00%","$61,56",,,,"$61,56","15,36%","26,40%","-11,04%","-84,65%",,"$61,56","15,36%",64,,,
