PROM_FECHA_INICIO,PROM_FECHA_FIN,ARTC_ARTC_COD,EVENTO_ID,PRONOSTICO_VENTA,STOCK_INICIAL_PROMO,GEOG_LOCL_COD,PROM_PVP_OFERTA,PROM_LOCAL_ACTIVO,PROM_ESTIBA
5/1/2025,5/14/2025,260234000,2505,,0,321,40,1,0
5/1/2025,5/14/2025,250977000,2505,,0,125,20,1,1
5/1/2025,5/14/2025,251708000,2505,,0,167,20,1,0
5/1/2025,5/14/2025,145887000,2505,,0,317,45,1,0
5/1/2025,5/14/2025,252106000,2505,,0,311,40,1,0
5/1/2025,5/14/2025,253117000,2505,,0,313,30,1,0
5/1/2025,5/14/2025,230933000,2505,,0,102,45,1,0
5/1/2025,5/14/2025,240188000,2505,,0,306,,1,0
5/1/2025,5/14/2025,252715000,2505,,0,149,40,1,0
5/1/2025,5/14/2025,252454000,2505,,0,322,50,1,0
5/1/2025,5/14/2025,260649000,2505,,0,151,25,1,0
5/1/2025,5/14/2025,239506000,2505,,0,329,50,1,0
5/1/2025,5/14/2025,254345000,2505,,0,134,25,1,0
5/1/2025,5/14/2025,141208000,2505,,0,198,30,1,0
5/1/2025,5/14/2025,253671000,2505,,0,162,20,1,0
5/1/2025,5/14/2025,160075000,2505,,0,140,40,1,0
5/1/2025,5/14/2025,141643000,2505,,0,117,30,1,0
5/1/2025,5/14/2025,141643000,2505,,0,115,30,1,0
5/1/2025,5/14/2025,141384000,2505,,0,325,45,1,0
5/1/2025,5/14/2025,253117000,2505,,0,151,30,1,0
5/1/2025,5/14/2025,252892000,2505,,0,162,50,1,0
5/1/2025,5/14/2025,141202000,2505,,0,313,40,1,0
5/1/2025,5/14/2025,261066000,2505,,0,323,40,1,0
5/1/2025,5/14/2025,252025000,2505,,0,301,50,1,0
5/1/2025,5/14/2025,256257000,2505,,0,101,50,1,0
5/1/2025,5/14/2025,162858000,2505,,0,312,40,1,0
5/1/2025,5/14/2025,259525000,2505,,0,122,50,1,0
5/1/2025,5/14/2025,253846000,2505,,0,141,40,1,0
5/1/2025,5/14/2025,255048000,2505,,0,322,25,1,0
5/1/2025,5/14/2025,231812000,2505,,0,151,35,1,0
5/1/2025,5/14/2025,240726000,2505,,0,160,,1,0
5/1/2025,5/14/2025,250842000,2505,,0,151,80,1,0
5/1/2025,5/14/2025,260649000,2505,,0,165,25,1,0
5/1/2025,5/14/2025,237201000,2505,,0,162,45,1,0
5/1/2025,5/14/2025,253670000,2505,,0,198,20,1,0
5/1/2025,5/14/2025,260651000,2505,,0,417,25,1,0
5/1/2025,5/14/2025,261501000,2505,,0,160,40,1,0
5/1/2025,5/14/2025,231603000,2505,,0,324,40,1,0
5/1/2025,5/14/2025,165115000,2505,,0,111,40,1,0
5/1/2025,5/14/2025,330868000,2505,,0,319,40,1,0
5/1/2025,5/14/2025,141642000,2505,,0,166,30,1,0
5/1/2025,5/14/2025,250625000,2505,,0,158,60,1,0
5/1/2025,5/14/2025,141600000,2505,,0,168,30,1,0
5/1/2025,5/14/2025,254343000,2505,,0,323,25,1,0
5/1/2025,5/14/2025,039363000,2505,,0,318,50,1,0
5/1/2025,5/14/2025,252855000,2505,,0,306,50,1,0
5/1/2025,5/14/2025,251341000,2505,,0,124,30,1,0
5/1/2025,5/14/2025,250633000,2505,,0,167,80,1,1
5/1/2025,5/14/2025,250805000,2505,,0,102,45,1,0
5/1/2025,5/14/2025,250976000,2505,,0,152,20,1,1
5/1/2025,5/14/2025,253118000,2505,,0,161,50,1,0
5/1/2025,5/14/2025,261065000,2505,,0,107,40,1,0
5/1/2025,5/14/2025,160418000,2505,,0,315,25,1,0
5/1/2025,5/14/2025,163705000,2505,,0,150,25,1,0
5/1/2025,5/14/2025,252330000,2505,,0,140,25,1,0
5/1/2025,5/14/2025,255279000,2505,,0,147,30,1,0
5/1/2025,5/14/2025,251979000,2505,,0,165,45,1,0
5/1/2025,5/14/2025,263946000,2505,,0,147,30,1,0
5/1/2025,5/14/2025,249503000,2505,,0,330,40,1,0
5/1/2025,5/14/2025,261066000,2505,,0,131,40,1,0
5/1/2025,5/14/2025,230336000,2505,,0,315,50,1,0
5/1/2025,5/14/2025,250625000,2505,,0,150,60,1,0
5/1/2025,5/14/2025,200528000,2505,,0,315,30,1,0
5/1/2025,5/14/2025,230336000,2505,,0,151,50,1,0
5/1/2025,5/14/2025,253284000,2505,,0,309,20,1,0
5/1/2025,5/14/2025,252938000,2505,,0,324,20,1,1
5/1/2025,5/14/2025,262249000,2505,,0,328,30,1,0
5/1/2025,5/14/2025,261400000,2505,,0,163,20,1,0
5/1/2025,5/14/2025,250805000,2505,,0,312,45,1,0
5/1/2025,5/14/2025,250288000,2505,,0,312,35,1,0
5/1/2025,5/14/2025,253284000,2505,,0,131,20,1,0
5/1/2025,5/14/2025,160782000,2505,,0,307,40,1,0
5/1/2025,5/14/2025,200639000,2505,,0,155,30,1,0
5/1/2025,5/14/2025,330177000,2505,,0,151,30,1,0
5/1/2025,5/14/2025,241217000,2505,,0,121,,1,0
5/1/2025,5/14/2025,251980000,2505,,0,323,50,1,0
5/1/2025,5/14/2025,141232000,2505,,0,318,40,1,1
5/1/2025,5/14/2025,240553000,2505,,0,115,,1,0
5/1/2025,5/14/2025,250849000,2505,,0,139,80,1,0
5/1/2025,5/14/2025,141200000,2505,,0,115,30,1,0
5/1/2025,5/14/2025,230930000,2505,,0,328,45,1,0
5/1/2025,5/14/2025,241213000,2505,,0,152,,1,0
5/1/2025,5/14/2025,252119000,2505,,0,111,40,1,0
5/1/2025,5/14/2025,249503000,2505,,0,153,40,1,0
5/1/2025,5/14/2025,260650000,2505,,0,156,25,1,0
5/1/2025,5/14/2025,256419000,2505,,0,317,50,1,0
5/1/2025,5/14/2025,252697000,2505,,0,147,50,1,0
5/1/2025,5/14/2025,141600000,2505,,0,321,30,1,0
5/1/2025,5/14/2025,131212000,2505,,0,108,40,1,0
5/1/2025,5/14/2025,255174000,2505,,0,329,30,1,0
5/1/2025,5/14/2025,249503000,2505,,0,304,40,1,0
5/1/2025,5/14/2025,254341000,2505,,0,143,25,1,0
5/1/2025,5/14/2025,231623000,2505,,0,148,40,1,0
5/1/2025,5/14/2025,101739000,2505,,0,325,40,1,0
5/1/2025,5/14/2025,250861000,2505,,0,318,80,1,0
5/1/2025,5/14/2025,240481000,2505,,0,115,,1,0
5/1/2025,5/14/2025,162951000,2505,,0,117,40,1,0
